Gene	GDI	GDI-Phred	Gene damage prediction (all disease-causing genes)
DEFB104B	0.00011	0.00000	Low
SPRR2A	0.00011	0.00022	Low
MAGEA9B	0.00042	0.00044	Low
SMIM13	0.00173	0.00067	Low
AL162431.1	0.0163	0.00089	Low
RIMBP3C	0.02742	0.00111	Low
FAM27A	0.08246	0.00133	Low
DEFB106B	0.10915	0.00155	Low
RP11-826N14.2	0.1193	0.00178	Low
AC002553.1	0.12062	0.00200	Low
C17orf112	0.12143	0.00222	Low
SPANXN5	0.13179	0.00244	Low
AC090186.1	0.1428	0.00267	Low
AC013468.1	0.14404	0.00289	Low
CT45A1	0.14568	0.00311	Low
EIF4E	0.16068	0.00333	Low
AP001885.1	0.1857	0.00355	Low
PRAMEF5	0.18894	0.00378	Low
KRTAP20-4	0.19655	0.00400	Low
TRPV1	0.20313	0.00422	Low
FAM27E1	0.2095	0.00444	Low
CTD-2561J22.3	0.21079	0.00467	Low
GAGE2B	0.22223	0.00489	Low
CCL3L1	0.22671	0.00511	Low
AC226150.4	0.24684	0.00533	Low
CXorf31	0.25922	0.00555	Low
RP11-219B4.6	0.28079	0.00578	Low
AC005493.1	0.28494	0.00600	Low
PRR23D1	0.29746	0.00622	Low
RP11-404L6.2	0.29987	0.00644	Low
AC111200.1	0.31036	0.00667	Low
SUMO1	0.35003	0.00689	Low
RP11-116D17.1	0.39784	0.00711	Low
RGPD6	0.4197	0.00733	Low
CT45A6	0.42793	0.00756	Low
SULT1A3	0.46902	0.00778	Low
TMSB15A	0.55154	0.00800	Low
RP11-505K9.4	0.57167	0.00822	Low
RP11-67H2.1	0.58942	0.00845	Low
AC011475.1	0.61033	0.00867	Low
AC011366.3	0.61257	0.00889	Low
SNURF	0.63033	0.00911	Low
DLEU2L	0.63842	0.00934	Low
PKIA	0.64652	0.00956	Low
DNAJC25-GNG10	0.65084	0.00978	Low
IFI6	0.6571	0.01000	Low
IQCJ	0.65839	0.01023	Low
FAM72A	0.6735	0.01045	Low
SPIN2B	0.67512	0.01067	Low
MTRNR2L9	0.6781	0.01089	Low
RP11-552I14.1	0.68349	0.01112	Low
SLN	0.70534	0.01134	Low
NBL1	0.71398	0.01156	Low
RABGEF1	0.7197	0.01178	Low
AL591025.1	0.72866	0.01201	Low
NUDT4	0.72963	0.01223	Low
AC120194.1	0.73125	0.01245	Low
LINC00998	0.74096	0.01268	Low
GTF2A1L	0.74258	0.01290	Low
MAPRE3	0.75283	0.01312	Low
C1QL3	0.76147	0.01334	Low
