Gene	GDI	GDI-Phred	Gene damage prediction (all disease-causing genes)
PEA15	0.76525	0.01357	Low
CTAGE5	0.76665	0.01379	Low
KM-PA-2	0.76686	0.01401	Low
AC011484.1	0.78359	0.01423	Low
SPHAR	0.7837	0.01446	Low
TBC1D3	0.78386	0.01468	Low
SHFM1	0.78872	0.01490	Low
DEFB104A	0.80248	0.01535	Low
DEFB123	0.80248	0.01513	Low
WDR83OS	0.81759	0.01557	Low
SCML1	0.81944	0.01579	Low
SSU72	0.82029	0.01602	Low
GNB1	0.82137	0.01624	Low
SRY	0.82297	0.01646	Low
MED21	0.847	0.01669	Low
FAM127C	0.84889	0.01691	Low
LMO3	0.85073	0.01713	Low
RAPGEF6	0.86508	0.01735	Low
GOLGA8N	0.87685	0.01758	Low
ZFAND5	0.87804	0.01780	Low
TSPAN7	0.88041	0.01802	Low
AC140481.2	0.88985	0.01825	Low
NGFRAP1	0.89045	0.01847	Low
FGF7	0.89584	0.01869	Low
RPS28	0.89854	0.01892	Low
RAB14	0.89908	0.01914	Low
RPS23	0.90178	0.01936	Low
RPL22	0.9034	0.01958	Low
RP11-458D21.5	0.90448	0.01981	Low
CETN2	0.92715	0.02003	Low
SLX1B	0.93902	0.02025	Low
HIST1H2AE	0.95683	0.02048	Low
AC006486.9	0.95899	0.02070	Low
AC003043.1	0.96276	0.02383	Low
AC012485.1	0.96276	0.02360	Low
AC026407.1	0.96276	0.02338	Low
AC092384.1	0.96276	0.02316	Low
AL049747.1	0.96276	0.02293	Low
AL441883.1	0.96276	0.02271	Low
AP000304.1	0.96276	0.02249	Low
BX649567.1	0.96276	0.02226	Low
CATX-2	0.96276	0.02204	Low
CTC-429P9.4	0.96276	0.02182	Low
LRLE1	0.96276	0.02159	Low
RP11-20I23.1	0.96276	0.02137	Low
RP11-318A15.7	0.96276	0.02115	Low
RP11-343C2.12	0.96276	0.02092	Low
SERF1B	0.96346	0.02405	Low
PSMC3	0.9687	0.02427	Low
YAF2	0.97464	0.02449	Low
TRAPPC1	0.98111	0.02472	Low
SEC11A	0.98813	0.02494	Low
SPATA31A5	0.9918	0.02516	Low
DEFB106A	0.99212	0.02539	Low
ANKRD20A3	1.01398	0.02561	Low
CTC-326K19.6	1.0286	0.02584	Low
KRTAP20-3	1.03065	0.02606	Low
CD59	1.03934	0.02628	Low
CCNC	1.05127	0.02651	Low
FGF13	1.05559	0.02673	Low
RPS15	1.0599	0.02695	Low
YWHAZ	1.06384	0.02718	Low
SPRYD7	1.07339	0.02740	Low
RAB8A	1.07555	0.02762	Low
RP11-9B6.1	1.0775	0.02785	Low
NUDT11	1.0912	0.02807	Low
AL121963.1	1.09374	0.02829	Low
SCHIP1	1.10092	0.02874	Low
TEX261	1.10092	0.02852	Low
CT83	1.10426	0.02896	Low
RAB9A	1.10631	0.02919	Low
DPY30	1.11171	0.02986	Low
RBM4	1.11171	0.02963	Low
UBE2QL1	1.11171	0.02941	Low
PRAMEF3	1.11181	0.03008	Low
MINOS1	1.11711	0.03030	Low
ZNF706	1.1225	0.03053	Low
ASF1A	1.1279	0.03075	Low
NNAT	1.1333	0.03098	Low
RP11-347C12.3	1.14409	0.03120	Low
HMGN2	1.14949	0.03142	Low
AP3S2	1.15488	0.03165	Low
KLRC4	1.15532	0.03187	Low
AP2S1	1.16568	0.03254	Low
GNG3	1.16568	0.03232	Low
TUBA1B	1.16568	0.03209	Low
WFDC11	1.1661	0.03277	Low
MAP1LC3A	1.17647	0.03321	Low
SF3B5	1.17647	0.03299	Low
PAGE4	1.17841	0.03344	Low
RPL19	1.18187	0.03411	Low
SMIM4	1.18187	0.03388	Low
SNX12	1.18187	0.03366	Low
RPS13	1.18726	0.03433	Low
MPV17L	1.18921	0.03456	Low
SMN1	1.19266	0.03478	Low
INIP	1.19806	0.03523	Low
RAP2C	1.19806	0.03500	Low
BANF1	1.20345	0.03635	Low
DCAF7	1.20345	0.03612	Low
FAM219A	1.20345	0.03590	Low
RPS18	1.20345	0.03567	Low
UBL5	1.20345	0.03545	Low
CDC42SE1	1.20885	0.03836	Low
CKS2	1.20885	0.03814	Low
EIF1B	1.20885	0.03791	Low
HSPE1	1.20885	0.03769	Low
NEDD8-MDP1	1.20885	0.03747	Low
NFIX	1.20885	0.03724	Low
RP11-155D18.14	1.20885	0.03702	Low
RPS8	1.20885	0.03679	Low
TUSC2	1.20885	0.03657	Low
AP1S2	1.21425	0.03993	Low
ARF1	1.21425	0.03971	Low
ATP6V0E1	1.21425	0.03948	Low
HSPE1-MOB4	1.21425	0.03926	Low
NUTF2	1.21425	0.03903	Low
RPL21	1.21425	0.03881	Low
RPS11	1.21425	0.03859	Low
CTB-60B18.6	1.21964	0.04150	Low
CTC-479C5.12	1.21964	0.04128	Low
GRB2	1.21964	0.04105	Low
H3F3A	1.21964	0.04083	Low
KLRC4-KLRK1	1.21964	0.04060	Low
PTTG1	1.21964	0.04038	Low
RP11-87C12.2	1.21964	0.04015	Low
SNRPD1	1.22504	0.04172	Low
RPS27	1.23044	0.04217	Low
UBE2D2	1.23044	0.04195	Low
PITPNB	1.23583	0.04329	Low
RBM17	1.23583	0.04307	Low
RPS19	1.23583	0.04285	Low
RPS26	1.23583	0.04262	Low
UBE2V2	1.23583	0.04240	Low
NCBP2	1.24123	0.04352	Low
LAMTOR3	1.24663	0.04397	Low
WDR82	1.24663	0.04374	Low
YEATS4	1.25742	0.04419	Low
PLA2G10	1.2578	0.04442	Low
RPA3	1.27572	0.04464	Low
ENY2	1.27901	0.04509	Low
RAP1B	1.27901	0.04486	Low
RPS15A	1.2844	0.04554	Low
UBE2Z	1.2844	0.04531	Low
AC009802.1	1.2898	0.04643	Low
AC010760.1	1.2898	0.04621	Low
RAB10	1.2898	0.04599	Low
UBE2N	1.2898	0.04576	Low
BEX4	1.29244	0.04666	Low
SH2D1A	1.31797	0.04688	Low
H2AFV	1.33297	0.04733	Low
UBE2E2	1.33297	0.04711	Low
TCEB3CL	1.33612	0.04756	Low
RNF11	1.34377	0.04778	Low
WI2-3308P17.2	1.34813	0.04801	Low
YPEL2	1.35456	0.04823	Low
RP11-1021N1.1	1.36643	0.04846	Low
RP11-599B13.6	1.37021	0.04868	Low
GABARAPL1	1.37955	0.04890	Low
C21orf90	1.38915	0.04913	Low
ARL4C	1.39352	0.04935	Low
LINC01119	1.39687	0.04958	Low
RAB11A	1.39773	0.04980	Low
RP11-62N21.1	1.39921	0.05003	Low
DEFB105A	1.46217	0.05025	Low
H2AFY	1.46789	0.05048	Low
UBE2B	1.48948	0.05070	Low
NXT2	1.49817	0.05093	Low
RGCC	1.53292	0.05115	Low
RPRD1A	1.55424	0.05138	Low
ETF1	1.55963	0.05160	Low
BEX5	1.56449	0.05182	Low
C7orf69	1.60631	0.05205	Low
STMN2	1.6082	0.05227	Low
AC003005.4	1.61058	0.05250	Low
FXYD6	1.61538	0.05272	Low
C18orf32	1.62876	0.05295	Low
RP11-447L10.1	1.62979	0.05317	Low
KB-1980E6.3	1.63114	0.05340	Low
TCEB3C	1.63837	0.05362	Low
RP11-347C12.1	1.66832	0.05385	Low
NABP2	1.67296	0.05407	Low
HIST2H2AC	1.67782	0.05430	Low
RP11-770J1.5	1.67874	0.05452	Low
MTRNR2L11	1.68591	0.05475	Low
C9orf53	1.69	0.05497	Low
PSMA6	1.69455	0.05520	Low
RPS29	1.69692	0.05542	Low
PTMS	1.69941	0.05565	Low
PAGE2	1.70768	0.05587	Low
APOA2	1.71247	0.05610	Low
NPIPB3	1.79035	0.05632	Low
ISY1	1.79147	0.05655	Low
POLR2D	1.79817	0.05677	Low
AC132216.1	1.8106	0.05700	Low
C1orf137	1.82362	0.05722	Low
IL18	1.83265	0.05745	Low
CAMK2A	1.83486	0.05790	Low
CDC42SE2	1.83486	0.05767	Low
AC016586.1	1.84437	0.05812	Low
DEFB107A	1.84695	0.05835	Low
ENHO	1.86131	0.05857	Low
SERP1	1.87048	0.05880	Low
MTRNR2L8	1.89325	0.05902	Low
CBX5	1.9007	0.05925	Low
CHP1	1.90232	0.05947	Low
RHOXF2B	1.91614	0.05970	Low
AC006126.3	1.92553	0.06308	Low
AC008372.1	1.92553	0.06285	Low
AC008964.1	1.92553	0.06262	Low
AC073342.1	1.92553	0.06240	Low
AC110792.1	1.92553	0.06217	Low
AL121895.1	1.92553	0.06195	Low
AL132989.1	1.92553	0.06172	Low
AL161645.2	1.92553	0.06150	Low
AP001094.1	1.92553	0.06127	Low
FKSG62	1.92553	0.06105	Low
L47234.1	1.92553	0.06082	Low
LINC00908	1.92553	0.06060	Low
MTRNR2L13	1.92553	0.06037	Low
SMIM1	1.92553	0.06015	Low
ZFY	1.92553	0.05992	Low
ACTB	1.93092	0.06330	Low
ATXN7L3B	1.94981	0.06353	Low
FAM106A	1.95899	0.06375	Low
PGA4	1.96546	0.06398	Low
RIT1	1.96708	0.06420	Low
SMIM10	1.97145	0.06443	Low
PLEKHF2	1.97572	0.06465	Low
S100A8	1.98251	0.06488	Low
ARGLU1	2	0.06510	Low
YPEL5	2.00216	0.06533	Low
PPBP	2.0088	0.06555	Low
AL353354.1	2.01592	0.06578	Low
HIGD2A	2.02536	0.06601	Low
NHLH2	2.03184	0.06623	Low
WFDC13	2.03335	0.06646	Low
U2AF2	2.06422	0.06668	Low
NDUFA5	2.068	0.06691	Low
TRAPPC2	2.07232	0.06713	Low
CORT	2.07555	0.06758	Low
UBE2G2	2.07555	0.06736	Low
AL158147.2	2.07771	0.06781	Low
RPL36AL	2.07933	0.06803	Low
RP11-272B17.2	2.08507	0.06826	Low
AC013269.5	2.1047	0.06849	Low
PURA	2.10685	0.06871	Low
EEF1A2	2.10901	0.06894	Low
CFL2	2.11009	0.06916	Low
H2AFX	2.11117	0.06939	Low
DEFB4A	2.11236	0.06961	Low
TUBB4B	2.11873	0.06984	Low
CREBL2	2.1225	0.07007	Low
EDF1	2.12304	0.07029	Low
FAM153C	2.12315	0.07052	Low
FAM49A	2.12358	0.07074	Low
GADD45A	2.12736	0.07097	Low
CCL18	2.13212	0.07119	Low
SPCS3	2.14301	0.07142	Low
AF196779.12	2.14571	0.07165	Low
MMP23B	2.1497	0.07187	Low
RP11-944C7.1	2.15488	0.07210	Low
PPP4C	2.17485	0.07232	Low
SPANXN1	2.18478	0.07255	Low
IFNG	2.1884	0.07277	Low
AL627171.1	2.19136	0.07300	Low
SMIM12	2.19212	0.07323	Low
RPL10	2.20183	0.07345	Low
C10orf32-ASMT	2.20453	0.07368	Low
GAGE10	2.20684	0.07390	Low
ACTR2	2.21749	0.07413	Low
BTLA	2.21801	0.07436	Low
RP11-738G5.2	2.21816	0.07458	Low
UXT	2.23961	0.07481	Low
SMIM19	2.2401	0.07503	Low
PLN	2.24501	0.07526	Low
RP5-1052I5.2	2.24545	0.07548	Low
FAM27E3	2.25256	0.07571	Low
AC007557.1	2.26454	0.07594	Low
POLR2M	2.26659	0.07616	Low
FAM150B	2.26875	0.07639	Low
RP11-701P16.2	2.26953	0.07661	Low
RPRM	2.27037	0.07684	Low
IL31	2.27422	0.07707	Low
CNIH2	2.28818	0.07752	Low
KCTD6	2.28818	0.07729	Low
SMARCB1	2.2986	0.07774	Low
COX14	2.29897	0.07797	Low
RAP2A	2.30275	0.07820	Low
TARDBP	2.30437	0.07842	Low
RP11-404P21.8	2.30502	0.07865	Low
SPIN4	2.30977	0.07888	Low
YWHAH	2.31516	0.07910	Low
PPP1R14B	2.32056	0.07933	Low
DDX3X	2.33675	0.07955	Low
RP11-386G21.1	2.3383	0.07978	Low
PTP4A2	2.35834	0.08001	Low
TMEM35	2.35963	0.08023	Low
METTL9	2.36913	0.08046	Low
BLCAP	2.37453	0.08068	Low
WFDC2	2.37906	0.08091	Low
RAB15	2.38532	0.08114	Low
C2orf27B	2.38802	0.08136	Low
ARL8A	2.39611	0.08272	Low
BLOC1S1	2.39611	0.08249	Low
INMT-FAM188B	2.39611	0.08227	Low
RAP1A	2.39611	0.08204	Low
SF3B4	2.39611	0.08182	Low
TMA7	2.39611	0.08159	Low
SPINK13	2.39962	0.08295	Low
PCSK1N	2.39995	0.08317	Low
UBE2R2	2.40151	0.08340	Low
GABARAPL2	2.40691	0.08498	Low
NUDCD2	2.40691	0.08476	Low
PSMA2	2.40691	0.08453	Low
RBM8A	2.40691	0.08431	Low
SS18L2	2.40691	0.08408	Low
TUBB2A	2.40691	0.08385	Low
ZNF705D	2.40691	0.08363	Low
SPDYE2	2.4122	0.08521	Low
RPL10A	2.4123	0.08544	Low
CT55	2.41349	0.08566	Low
ACTC1	2.4177	0.08589	Low
GCHFR	2.4231	0.08612	Low
GNG4	2.42849	0.08680	Low
SNRPB2	2.42849	0.08657	Low
TMEM258	2.42849	0.08634	Low
RETN	2.42893	0.08702	Low
PSME3	2.42898	0.08725	Low
RPL34	2.43389	0.08770	Low
RPS25	2.43389	0.08748	Low
AC010547.9	2.43929	0.08906	Low
CTD-2369P2.10	2.43929	0.08884	Low
HIST2H2AB	2.43929	0.08861	Low
RP1-27O5.3	2.43929	0.08838	Low
RP11-133K1.2	2.43929	0.08816	Low
RPL23	2.43929	0.08793	Low
CGB8	2.44485	0.08929	Low
DLX1	2.45008	0.08952	Low
XAGE3	2.45251	0.08974	Low
IL21	2.45548	0.08997	Low
COPS2	2.46087	0.09020	Low
HNRNPD	2.46627	0.09065	Low
UBE2K	2.46627	0.09042	Low
PTPLB	2.47188	0.09088	Low
NCS1	2.47706	0.09110	Low
PTH	2.4877	0.09133	Low
BTF3L4	2.48786	0.09156	Low
CXCL13	2.48942	0.09178	Low
LDOC1	2.49325	0.09201	Low
PFDN1	2.49433	0.09224	Low
VSNL1	2.50243	0.09246	Low
DSTN	2.50944	0.09269	Low
CTD-2132N18.3	2.51484	0.09314	Low
SH3BGRL	2.51484	0.09292	Low
IKBKG	2.5256	0.09337	Low
POLR2K	2.52887	0.09360	Low
ZMAT2	2.53643	0.09383	Low
CCL2	2.53751	0.09405	Low
TAGLN3	2.54021	0.09428	Low
NAA38	2.54182	0.09451	Low
TGIF2	2.55893	0.09473	Low
ST20-MTHFS	2.59039	0.09496	Low
PPP1CB	2.60658	0.09519	Low
RAB20	2.61806	0.09541	Low
YWHAE	2.62817	0.09564	Low
PRAMEF21	2.63303	0.09587	Medium
LAMTOR2	2.63616	0.09609	Medium
ATP1B3	2.63913	0.09632	Medium
RGS17	2.6408	0.09655	Medium
USP17L18	2.65072	0.09678	Medium
AC023469.1	2.67045	0.09700	Medium
AL139333.1	2.67434	0.09723	Medium
DEFB136	2.6816	0.09746	Medium
TMEM47	2.71452	0.09768	Medium
S100B	2.73357	0.09791	Medium
MAGOH	2.7415	0.09814	Medium
SMPX	2.75229	0.09837	Medium
C1orf134	2.76441	0.09859	Medium
AC106873.4	2.77225	0.09882	Medium
POLR2L	2.77442	0.09905	Medium
INS	2.77679	0.09927	Medium
SAMD13	2.78251	0.09950	Medium
MTRNR2L1	2.7844	0.09973	Medium
HBA1	2.80809	0.09996	Medium
RAB4B	2.81543	0.10018	Medium
AL136218.1	2.82348	0.10041	Medium
SOD1	2.83815	0.10064	Medium
SPTSSB	2.84404	0.10086	Medium
SNX3	2.85375	0.10109	Medium
NPIPA2	2.85956	0.10132	Medium
GSKIP	2.864	0.10155	Medium
DEFB113	2.87291	0.10177	Medium
RAB2A	2.87372	0.10200	Medium
HMGB3	2.88181	0.10223	Medium
AC007773.3	2.88829	0.10496	Medium
AC027228.1	2.88829	0.10473	Medium
AC091948.1	2.88829	0.10450	Medium
AC131935.1	2.88829	0.10428	Medium
AC136297.1	2.88829	0.10405	Medium
AC137932.1	2.88829	0.10382	Medium
AL035681.1	2.88829	0.10359	Medium
C20ORF135	2.88829	0.10337	Medium
CWC15	2.88829	0.10314	Medium
DKFZP434E1119	2.88829	0.10291	Medium
MGC4771	2.88829	0.10268	Medium
RP11-159D12.5	2.88829	0.10246	Medium
AL031590.1	2.88848	0.10519	Medium
FAM24B	2.89239	0.10541	Medium
C19orf43	2.89584	0.10564	Medium
C20orf187	2.90826	0.10587	Medium
AC107021.1	2.91728	0.10610	Medium
RPL24	2.93038	0.10632	Medium
CXorf56	2.94495	0.10655	Medium
NDUFA1	2.94825	0.10678	Medium
AC015987.2	2.95899	0.10701	Medium
ECSCR	2.96298	0.10723	Medium
BBS1	2.96492	0.10746	Medium
UBE2G1	2.97356	0.10769	Medium
TAF13	2.97895	0.10814	Medium
TIMM10	2.97895	0.10792	Medium
MTCP1	2.98111	0.10837	Medium
RP11-1C1.5	2.98959	0.10860	Medium
NOTCH2NL	3.00594	0.10883	Medium
LINC00696	3.00885	0.10905	Medium
DEFB114	3.01781	0.10928	Medium
PRPS2	3.02051	0.10951	Medium
MZT1	3.02213	0.10974	Medium
CTD-2260A17.2	3.03222	0.10997	Medium
NME1	3.03238	0.11019	Medium
EIF4EBP1	3.04371	0.11042	Medium
AC008132.1	3.06682	0.11065	Medium
KRTAP22-2	3.07259	0.11088	Medium
RAB6B	3.08689	0.11110	Medium
AC003102.1	3.09644	0.11133	Medium
RP11-315O6.2	3.10496	0.11156	Medium
SLC48A1	3.1238	0.11179	Medium
AL590714.1	3.12855	0.11202	Medium
ZDHHC9	3.13114	0.11224	Medium
BBIP1	3.14301	0.11247	Medium
AC026461.1	3.14517	0.11270	Medium
GOLGA8R	3.15781	0.11293	Medium
ZNF713	3.16104	0.11315	Medium
RP11-585F1.10	3.16178	0.11338	Medium
UBALD2	3.1619	0.11361	Medium
TMEM158	3.16244	0.11384	Medium
TBC1D3G	3.16493	0.11407	Medium
FAM199X	3.17863	0.11429	Medium
SCGB2A1	3.17887	0.11452	Medium
BIRC5	3.19676	0.11475	Medium
CRB3	3.19838	0.11498	Medium
KCNA2	3.20723	0.11521	Medium
NXT1	3.21101	0.11543	Medium
GNGT1	3.21371	0.11566	Medium
C6ORF50	3.21742	0.11589	Medium
UBE2D1	3.2218	0.11612	Medium
SNX24	3.22925	0.11635	Medium
CDK1	3.23745	0.11657	Medium
LRRC3B	3.24231	0.11680	Medium
NKIRAS2	3.24501	0.11703	Medium
CCDC71L	3.25401	0.11726	Medium
CBLN4	3.25418	0.11749	Medium
MAFG	3.26174	0.11772	Medium
BCL2L1	3.26282	0.11794	Medium
ABHD17C	3.26444	0.11817	Medium
GNG7	3.26659	0.11840	Medium
C1QTNF1-AS1	3.27382	0.11863	Medium
CLLU1OS	3.27787	0.11886	Medium
XK	3.28494	0.11908	Medium
S100A10	3.29196	0.11931	Medium
CHIC1	3.30005	0.11954	Medium
SNRPN	3.30329	0.11977	Medium
COX6B1	3.30437	0.12000	Medium
PSMC1	3.30599	0.12023	Medium
RAB24	3.30707	0.12045	Medium
MALL	3.30761	0.12068	Medium
ERAS	3.31005	0.12091	Medium
TMEM185A	3.31301	0.12114	Medium
PNRC2	3.31894	0.12137	Medium
ARF5	3.32434	0.12160	Medium
UBL3	3.32974	0.12182	Medium
RPP25L	3.34053	0.12205	Medium
NR2F1	3.34161	0.12228	Medium
PSMA3	3.37723	0.12251	Medium
TCEAL8	3.37831	0.12274	Medium
SCGB3A2	3.38036	0.12297	Medium
MLLT11	3.38586	0.12319	Medium
COPS5	3.38694	0.12342	Medium
UBE2E3	3.39773	0.12365	Medium
RP11-302B13.5	3.40051	0.12388	Medium
AC022819.2	3.40205	0.12411	Medium
DUX4L4	3.40274	0.12434	Medium
YWHAQ	3.40799	0.12457	Medium
UPRT	3.42148	0.12479	Medium
HIST1H3B	3.42202	0.12502	Medium
AC174470.1	3.42423	0.12525	Medium
RP11-834C11.12	3.43767	0.12548	Medium
SCAND1	3.44037	0.12571	Medium
TMEM203	3.46465	0.12594	Medium
KRAS	3.46519	0.12617	Medium
ATP5G1	3.48084	0.12639	Medium
NAA20	3.49703	0.12662	Medium
GPR4	3.50108	0.12685	Medium
PKIG	3.50135	0.12708	Medium
EMC6	3.50189	0.12731	Medium
RP11-552F3.12	3.50729	0.12754	Medium
AGO2	3.51322	0.12822	Medium
CAMK2N2	3.51322	0.12799	Medium
FAM203A	3.51322	0.12777	Medium
CCL19	3.51808	0.12845	Medium
TXNL4A	3.51916	0.12868	Medium
SLURP1	3.52718	0.12891	Medium
MGC10955	3.53068	0.12914	Medium
LSM1	3.53481	0.12937	Medium
GPX8	3.57258	0.12960	Medium
CNPY2	3.58338	0.13028	Medium
RPS9	3.58338	0.13005	Medium
TPT1	3.58338	0.12982	Medium
OXT	3.58877	0.13051	Medium
DEXI	3.59417	0.13074	Medium
GID8	3.59477	0.13097	Medium
BST2	3.60338	0.13120	Medium
ACTA2	3.60496	0.13143	Medium
HPRT1	3.61036	0.13211	Medium
PTEN	3.61036	0.13188	Medium
TUBA4A	3.61036	0.13166	Medium
RASL10A	3.61576	0.13234	Medium
POLR2C	3.62115	0.13257	Medium
BCL7B	3.62169	0.13280	Medium
URM1	3.62561	0.13303	Medium
SDHAF2	3.62655	0.13326	Medium
PITHD1	3.63195	0.13349	Medium
RUVBL1	3.63734	0.13372	Medium
PRAMEF19	3.64274	0.13394	Medium
RP11-706O15.1	3.64389	0.13417	Medium
NRAS	3.64814	0.13463	Medium
PDZD11	3.64814	0.13440	Medium
H2AFJ	3.65353	0.13509	Medium
TMEM167B	3.65353	0.13486	Medium
CLPP	3.65823	0.13532	Medium
INTS4L2	3.65893	0.13555	Medium
PSMD14	3.66433	0.13578	Medium
RPS4Y2	3.66805	0.13601	Medium
CHMP5	3.68591	0.13624	Medium
ZBTB14	3.68851	0.13646	Medium
CEBPG	3.69034	0.13669	Medium
RPL31	3.69131	0.13692	Medium
SNRNP27	3.69185	0.13715	Medium
GYPE	3.69628	0.13738	Medium
POLR2J	3.698	0.13761	Medium
DNAJC5	3.7021	0.13784	Medium
CCL21	3.70221	0.13807	Medium
LY6H	3.71295	0.13830	Medium
CNIH1	3.72369	0.13853	Medium
GOLGA6L1	3.72822	0.13876	Medium
ARPC4	3.73967	0.13899	Medium
MRFAP1	3.7415	0.13922	Medium
PITPNA	3.74906	0.13944	Medium
RP11-529K1.3	3.76147	0.13990	Medium
YWHAG	3.76147	0.13967	Medium
AL049840.1	3.76367	0.14013	Medium
YY2	3.78538	0.14036	Medium
VBP1	3.78737	0.14059	Medium
SRP9	3.79518	0.14082	Medium
RAB40C	3.81543	0.14105	Medium
IFITM1	3.82348	0.14128	Medium
AC092964.1	3.84732	0.14151	Medium
AC005549.3	3.85105	0.14357	Medium
AC015660.1	3.85105	0.14334	Medium
AC093157.1	3.85105	0.14312	Medium
CTD-2207O23.12	3.85105	0.14289	Medium
CTD-2330K9.3	3.85105	0.14266	Medium
DKFZP434H0512	3.85105	0.14243	Medium
RP11-162A12.2	3.85105	0.14220	Medium
RP11-94B19.4	3.85105	0.14197	Medium
TMEM56-RWDD3	3.85105	0.14174	Medium
RIMS4	3.85321	0.14380	Medium
HPCA	3.85861	0.14403	Medium
CXCR3	3.86133	0.14426	Medium
LEPROT	3.87804	0.14449	Medium
TIAL1	3.89207	0.14472	Medium
PPIA	3.89638	0.14495	Medium
TSLP	3.9088	0.14518	Medium
EMC8	3.91042	0.14541	Medium
PLAC8	3.91096	0.14564	Medium
FBXL3	3.93416	0.14587	Medium
ATF7	3.94452	0.14610	Medium
AC092675.3	3.96471	0.14633	Medium
CLEC3B	3.96492	0.14656	Medium
COPZ1	3.96945	0.14679	Medium
SMC1A	3.97733	0.14702	Medium
DAD1	3.98327	0.14725	Medium
SPTSSA	3.98921	0.14748	Medium
C1orf21	4.01295	0.14771	Medium
PAFAH1B2	4.02051	0.14794	Medium
RP11-181C3.1	4.02552	0.14817	Medium
SPPL3	4.03778	0.14840	Medium
RQCD1	4.04018	0.14863	Medium
UBE2D3	4.04317	0.14886	Medium
UBE2F	4.06908	0.14909	Medium
SPIN1	4.08527	0.14932	Medium
EIF5A	4.08635	0.14955	Medium
CXorf40A	4.10291	0.14978	Medium
ACER3	4.10513	0.15001	Medium
C20orf24	4.10648	0.15024	Medium
SNRPF	4.10655	0.15047	Medium
PIM2	4.12142	0.15069	Medium
C10orf32	4.12196	0.15092	Medium
XAGE5	4.12462	0.15115	Medium
RPL37A	4.13006	0.15138	Medium
CXCL9	4.13391	0.15161	Medium
SMAD2	4.13923	0.15184	Medium
UBE2L3	4.15003	0.15207	Medium
MSMB	4.1653	0.15230	Medium
FAM183B	4.1657	0.15253	Medium
PPP1CA	4.17755	0.15276	Medium
SUMO3	4.18821	0.15299	Medium
CXorf66	4.19169	0.15322	Medium
KRTAP23-1	4.20263	0.15345	Medium
RPSA	4.22412	0.15368	Medium
GK	4.23799	0.15391	Medium
TMEM100	4.23956	0.15414	Medium
MDK	4.23961	0.15437	Medium
SEPT7	4.24738	0.15460	Medium
RANBP1	4.25575	0.15484	Medium
RAB7A	4.25742	0.15507	Medium
LALBA	4.26837	0.15530	Medium
PIN1	4.27739	0.15553	Medium
SMN2	4.27931	0.15576	Medium
CCDC53	4.29196	0.15599	Medium
AP005482.1	4.2968	0.15622	Medium
FAM50A	4.30709	0.15645	Medium
GRIN1	4.30815	0.15668	Medium
PRELID1	4.31085	0.15691	Medium
VAMP8	4.31193	0.15714	Medium
HIST1H2AC	4.32056	0.15737	Medium
C12orf76	4.3306	0.15760	Medium
RP11-1102P16.1	4.338	0.15783	Medium
